name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
903,903,0,2005 BOUL. MELLON,JONQUIÈRE,48.4245618,-71.1806579,0,Couche-Tard,Couche-Tard,Open,quebec,292.9811090898127,CA,/store-locator/CA/jonquiere/2005-boul-mellon/903,"public_restrooms, roller_grill, sloche, dhl",NA
M7073,M7073,0,513 ALFRED RD,BIDDEFORD,43.477912,-70.495952,0,QSR-SUBWAY,Circle K,Open,greatlakes,293.0240320908115,US,/store-locator/US/biddeford/513-alfred-rd/M7073,,
M7045,M7045,0,513 ALFRED ST,BIDDEFORD,43.477912,-70.495952,0,Circle K,Circle K,Open,greatlakes,293.0240320908115,US,/store-locator/US/biddeford/513-alfred-st/M7045,"gas, diesel, coffee, polar_pop, roller_grill",
M7265,M7265,0,44 PORTSMOUTH AV,STRATHAM,43.002613,-70.919753,0,Circle K,Circle K,Open,greatlakes,293.3301655395894,US,/store-locator/US/stratham/44-portsmouth-av/M7265,"car_wash, gas, polar_pop",
M7232,M7232,0,2 STRATHAM HEIGHTS RD,STRATHAM,42.994247,-70.925697,0,Circle K,Circle K,Open,greatlakes,293.4402366925471,US,/store-locator/US/stratham/2-stratham-heights-rd/M7232,"gas, diesel, coffee, polar_pop, roller_grill",
M7061,M7061,0,65 GRAY RD,WEST FALMOUTH,43.733956,-70.296539,0,Circle K,Circle K,Open,greatlakes,293.4516102760791,US,/store-locator/US/west-falmouth/65-gray-rd/M7061,"gas, diesel",
M7017,M7017,0,270 RIVERSIDE ST,PORTLAND,43.685558,-70.328567,0,Circle K,Circle K,Open,greatlakes,293.53327092119434,US,/store-locator/US/portland/270-riverside-st/M7017,"gas, diesel, coffee, polar_pop, froster, roller_grill",
1351,1351,0,3003 Rue Du Plein Air,SAGUENAY,48.373452,-71.0912717,0,Couche-Tard,Couche-Tard,Open,quebec,293.5744956535524,CA,/store-locator/CA/saguenay/3003-rue-du-plein-air/1351,"diesel, public_restrooms, atm, roller_grill, sloche, dhl",NA
M7512,M7512,0,181 PELHAM ST,METHUEN,42.729961,-71.210342,0,Circle K,Circle K,Open,greatlakes,293.7415464612117,US,/store-locator/US/methuen/181-pelham-st/M7512,"car_wash, gas, diesel",
M7513,M7513,0,181 PELHAM ST,METHUEN,42.729961,-71.210342,0,QSR-SUBWAY,Circle K,Open,greatlakes,293.7415464612117,US,/store-locator/US/methuen/181-pelham-st/M7513,,
1205,1205,0,1931 BOUL. ST-PAUL,CHICOUTIMI,48.3951334,-71.1071056,0,Couche-Tard,Couche-Tard,Open,quebec,294.0331614788716,CA,/store-locator/CA/chicoutimi/1931-boul-st-paul/1205,"diesel, public_restrooms, atm, roller_grill, sloche, bakery, dhl",NA
M7053,M7053,0,775 PORTLAND RD,SACO,43.528045,-70.425895,0,Circle K,Circle K,Open,greatlakes,294.400207325491,US,/store-locator/US/saco/775-portland-rd/M7053,"gas, coffee, polar_pop, roller_grill",
M7054,M7054,0,59 PORTLAND RD,KENNEBUNK,43.395747,-70.531021,0,Circle K,Circle K,Open,greatlakes,294.42992926029274,US,/store-locator/US/kennebunk/59-portland-rd/M7054,"car_wash, gas, coffee, polar_pop, roller_grill",
M7046,M7046,0,401 US ROUTE 1,SCARBOROUGH,43.58443,-70.36164,0,Circle K,Circle K,Open,greatlakes,295.36876825748374,US,/store-locator/US/scarborough/401-us-route-1/M7046,"gas, diesel, coffee, polar_pop, froster, roller_grill",
M7036,M7036,0,1045 POST RD,WELLS,43.305554,-70.584828,0,Circle K,Circle K,Open,greatlakes,295.42390237540104,US,/store-locator/US/wells/1045-post-rd/M7036,"gas, diesel, coffee, polar_pop, roller_grill",
M7040,M7040,0,374 MADISON AVE,SKOWHEGAN,44.785088,-69.730477,0,Circle K,Circle K,Open,greatlakes,295.58006304771595,US,/store-locator/US/skowhegan/374-madison-ave/M7040,"gas, diesel, coffee, polar_pop, roller_grill",
M7030,M7030,0,474 WESTBROOK ST,SOUTH PORTLAND,43.633724,-70.314861,0,Circle K,Circle K,Open,greatlakes,295.84755410181384,US,/store-locator/US/south-portland/474-westbrook-st/M7030,"gas, diesel, coffee, polar_pop, roller_grill",
1002,1002,0,1455 BOUL. TALBOT,CHICOUTIMI,48.4030383,-71.0592007,0,Couche-Tard,Couche-Tard,Open,quebec,295.96550487792973,CA,/store-locator/CA/chicoutimi/1455-boul-talbot/1002,"public_restrooms, atm, roller_grill, sloche, dhl",NA
1011,1011,1,110 Centre St.,ESPANOLA,46.2647086,-81.7697667,0,MACS,Mac's,Open,ontario,296.24627997880435,Canada,/store-ontario/Canada/espanola/110-centre-st/1011,"gas, atm, coffee, polar_pop, froster, redbull_shop",NA
909,909,0,170 RUE DES CHAMPS-ÉLYSÉES,CHICOUTIMI,48.4155855,-71.0646587,0,Couche-Tard,Couche-Tard,Open,quebec,296.3529972456655,CA,/store-locator/CA/chicoutimi/170-rue-des-champs-elysees/909,"public_restrooms, atm, roller_grill, sloche, dhl",NA
M7090,M7090,0,103 US ROUTE 1 BYP,KITTERY,43.099258,-70.747084,0,QSR-AMATO,Circle K,Open,greatlakes,296.550742713471,US,/store-locator/US/kittery/103-us-route-1-byp/M7090,,
M7065,M7065,0,103 US ROUTE 1 BYP,KITTERY,43.099258,-70.747084,0,Circle K,Circle K,Open,greatlakes,296.550742713471,US,/store-locator/US/kittery/103-us-route-1-byp/M7065,"gas, diesel",
